Cmp,sample, R,AP,short_sample,recovery
-OH Bupropion,250 1,368.4695286354902,238.74218714132525,250,0.6479292548977689
-OH Bupropion,250 2,373.7134076099479,239.2118125685898,250,0.640094274643365
-OH Bupropion,250 3,347.7262679042184,252.71959770624923,250,0.7267774138244314
-OH Bupropion,250 4,354.21967368643544,241.25758261422357,250,0.681095942818216
-OH Bupropion,250 5,344.59487375558905,241.27133183135308,250,0.7001593761446367
-OH Bupropion,3.0 1,4248.095192458381,2435.420822118039,3000,0.5732971394901007
-OH Bupropion,3.0 2,3864.599012363048,2808.137370250537,3000,0.726630980670223
-OH Bupropion,3.0 3,4122.227531267996,3015.5763850454464,3000,0.7315404989587889
-OH Bupropion,3.0 4,11283.840318520397,2980.311145754731,3000,0.26412205965579694
-OH Bupropion,3.0 5,4354.5335199543915,2830.0619503335042,3000,0.6499116236825169
-OH Bupropion,750 1,961.9243107987604,709.346443129682,750,0.7374243848153257
-OH Bupropion,750 2,1036.4705034940494,733.1704315501647,750,0.7073722108623172
-OH Bupropion,750 3,1144.1908526386137,736.0450785230723,750,0.6432887282971035
-OH Bupropion,750 4,1082.9366010431793,710.5604447958801,750,0.6561422377925044
-OH Bupropion,750 5,1181.105554249153,714.7748693572478,750,0.6051744205128567
-OH Carbofuran,250 1,307.2695190904596,260.90518040292386,250,0.8491085649342063
-OH Carbofuran,250 2,338.4221209753053,293.4650351834728,250,0.8671567755019389
-OH Carbofuran,250 3,316.4317836879297,246.0256578218191,250,0.7774998293611798
-OH Carbofuran,250 4,323.14980283612704,292.40822269225276,250,0.9048689497128869
-OH Carbofuran,250 5,310.9749144681398,264.002224655736,250,0.8489502283721464
-OH Carbofuran,3.0 1,2756.7886333723845,2315.7676686548484,3000,0.8400236567364128
-OH Carbofuran,3.0 2,2769.111595500805,2184.8900936175864,3000,0.7890220448925029
-OH Carbofuran,3.0 3,2882.372287693689,2264.2500368096717,3000,0.7855508625575207
-OH Carbofuran,3.0 4,2815.357502836663,2390.6422271708866,3000,0.849143394670891
-OH Carbofuran,3.0 5,2713.54885392096,2196.0106307812875,3000,0.8092762463473424
-OH Carbofuran,750 1,774.7095241884775,663.7856582782609,750,0.856818765683291
-OH Carbofuran,750 2,729.0084491044032,653.8537694362534,750,0.8969083557804051
-OH Carbofuran,750 3,801.373303250285,613.8595533901893,750,0.7660094875889178
-OH Carbofuran,750 4,790.2011869527892,619.2956731387198,750,0.7837189862076478
-OH Carbofuran,750 5,752.3029236906282,592.6169630290716,750,0.7877371526376991
-OH Diclofenac,250 1,340.3120786746291,242.82850229243488,250,0.7135465283458309
-OH Diclofenac,250 2,336.4923465941696,254.13306061644428,250,0.7552417259669336
-OH Diclofenac,250 3,337.72665212068506,237.383227246015,250,0.7028856791592131
-OH Diclofenac,250 4,343.96757020150824,247.4207484176901,250,0.7193141733470466
-OH Diclofenac,250 5,330.87586801906707,227.89673401532022,250,0.6887680729928223
-OH Diclofenac,3.0 1,4060.6250316870046,2922.936030382939,3000,0.7198241668644279
-OH Diclofenac,3.0 2,3829.94417452943,3011.5084761986805,3000,0.7863061023777697
-OH Diclofenac,3.0 3,3999.3770595523256,3083.5113635649427,3000,0.7709979123374026
-OH Diclofenac,3.0 4,4222.222483425674,3039.426295952993,3000,0.7198640781920552
-OH Diclofenac,3.0 5,4059.591326114279,3125.6684261403325,3000,0.7699465722162063
-OH Diclofenac,750 1,923.582492988651,681.5776625054907,750,0.7379716134505225
-OH Diclofenac,750 2,974.0099199248959,711.627643910708,750,0.7306164232552994
-OH Diclofenac,750 3,1003.1574778850622,674.9844219062643,750,0.6728598817100193
-OH Diclofenac,750 4,1059.9121383752556,720.8983010720714,750,0.6801491132813516
-OH Diclofenac,750 5,931.0838148115557,718.4845960140104,750,0.7716647895543391
Acetaminophen,250 1,362.27507785776197,246.7130117864026,250,0.6810101684203299
Acetaminophen,250 2,287.6074142966436,241.44453168481596,250,0.8394934194421901
Acetaminophen,250 3,359.89342408329503,218.02046784682534,250,0.6057917518280798
Acetaminophen,250 4,337.44604809389966,290.8777701360341,250,0.861997856484284
Acetaminophen,250 5,322.22706929393826,198.58253579079155,250,0.6162813578198885
Acetaminophen,3.0 1,3821.161425602004,3190.524560102299,3000,0.8349619931588336
Acetaminophen,3.0 2,3693.4648570521367,3263.78116685189,3000,0.8836637935298537
Acetaminophen,3.0 3,4014.152848897311,2915.4737558729958,3000,0.7262986402408362
Acetaminophen,3.0 4,3594.211420166288,2781.8001812584953,3000,0.7739667637942661
Acetaminophen,3.0 5,3737.777806330787,2763.1330880296346,3000,0.7392448752169358
Acetaminophen,750 1,875.600049020276,868.8514301457317,750,0.9922925782358105
Acetaminophen,750 2,1087.669779385732,822.7365907956764,750,0.7564213021164584
Acetaminophen,750 3,970.5576450975677,779.9341976078058,750,0.8035938942394307
Acetaminophen,750 4,1011.9796529895248,766.4635365345684,750,0.7573902639942726
Acetaminophen,750 5,1196.3932737787518,705.0468669576467,750,0.5893102898604481
Atrazine,2.5 1,4853.164062657264,2739.6480837888985,3000,0.5645076177970486
Atrazine,2.5 2,4680.021244538387,2579.280932759965,3000,0.5511259026377286
Atrazine,2.5 3,6187.589257068476,2763.8169620798485,3000,0.4466710454192745
Atrazine,2.5 4,3753.2115197769695,2837.082765264383,3000,0.7559080404381189
Atrazine,2.5 5,4970.994418353406,2898.150865289595,3000,0.5830122952038195
Atrazine,250 1,289.96241861364405,168.71159503761731,250,0.5818395219775514
Atrazine,250 2,286.7757879712523,213.2140204735053,250,0.7434868263525748
Atrazine,250 3,393.15750917434787,223.173999076033,250,0.5676452665108966
Atrazine,250 4,406.5284656019764,246.77118052391032,250,0.6070206674420651
Atrazine,250 5,299.1551365241096,135.95442374827152,250,0.45446127159282335
Atrazine,750 1,686.6670536546353,680.5582051468762,750,0.9911036236917934
Atrazine,750 2,1110.9717763910112,704.9605283564292,750,0.6345440481363906
Atrazine,750 3,953.3494827769784,421.934994540296,750,0.4425816577896033
Atrazine,750 4,1023.2081092776623,550.0007487057768,750,0.5375257913994173
Atrazine,750 5,1024.1988616861872,533.3989108596483,750,0.5207962348068698
Bupropion,250 1,415.78245783258996,247.97774223003398,250,0.5964122284588528
Bupropion,250 2,420.14999840955477,259.4047758433117,250,0.6174099174705899
Bupropion,250 3,393.6035757869096,256.9382215437897,250,0.6527842665811853
Bupropion,250 4,405.2651262901523,260.8395846499721,250,0.6436270177938337
Bupropion,250 5,405.340443392547,263.5778291251472,250,0.6502628430538536
Bupropion,3.0 1,4998.1963254541915,2646.7648711921142,3000,0.5295439992448876
Bupropion,3.0 2,4348.4856811534755,2969.9159291055007,3000,0.6829770515233026
Bupropion,3.0 3,4702.109573902364,3083.5026378168627,3000,0.6557700515808714
Bupropion,3.0 4,13388.941514111923,2927.262341984122,3000,0.2186328425513542
Bupropion,3.0 5,4784.45799092852,3047.2828490302263,3000,0.6369128655341877
Bupropion,750 1,1108.4219020315293,743.4666300034471,750,0.6707433592216216
Bupropion,750 2,1259.1197274053827,722.1843242826768,750,0.5735628698081421
Bupropion,750 3,1288.4475909315652,756.3385760204648,750,0.5870153984871217
Bupropion,750 4,1274.8376173511735,761.6929859156369,750,0.5974823581832045
Bupropion,750 5,1302.406844543247,719.0348090108321,750,0.552081565006668
Carbofuran,250 1,343.1618252403845,270.08872924699716,250,0.7870593678588821
Carbofuran,250 2,382.35133345941875,283.91513449375435,250,0.7425503971045728
Carbofuran,250 3,390.9328513122777,279.8238785254025,250,0.7157850193098221
Carbofuran,250 4,355.2516740652395,269.9933365265773,250,0.7600058106327034
Carbofuran,250 5,356.5120624546474,282.9088590370495,250,0.7935463868716615
Carbofuran,3.0 1,3679.605614581024,2379.78211565772,3000,0.6467492348167571
Carbofuran,3.0 2,3644.0470417136107,2606.089386653854,3000,0.7151634863166701
Carbofuran,3.0 3,3658.3628029848737,2563.670064572037,3000,0.7007697712431167
Carbofuran,3.0 4,3580.094477326587,2841.2508448760727,3000,0.7936245433941059
Carbofuran,3.0 5,3384.776061755,2401.6619070330134,3000,0.7095482428423215
Carbofuran,750 1,922.6309952156818,663.1619845725037,750,0.7187727141309376
Carbofuran,750 2,829.7666128809719,629.2724287556786,750,0.7583727990342102
Carbofuran,750 3,927.887689972304,597.7558533570306,750,0.6442114275434268
Carbofuran,750 4,895.1163760131631,594.5114952543985,750,0.6641722922133825
Carbofuran,750 5,830.711365516663,609.9477963197529,750,0.7342475637616855
Chlorzoxazone,250 1,303.58248313351066,262.76845694862345,250,0.86555869178085
Chlorzoxazone,250 2,316.20809502058154,234.2585399929127,250,0.7408366315785342
Chlorzoxazone,250 3,318.9480286518154,230.73224827731983,250,0.7234164426493518
Chlorzoxazone,250 4,376.81582132757285,254.38299814336807,250,0.675085768020946
Chlorzoxazone,250 5,330.3799656378366,238.83489509979904,250,0.7229097401190799
Chlorzoxazone,3.0 1,4484.063932541949,3011.006330820772,3000,0.6714904997159301
Chlorzoxazone,3.0 2,4540.653937383395,3276.4676085890624,3000,0.7215849641422278
Chlorzoxazone,3.0 3,4251.598940691557,3006.4239989539715,3000,0.7071278455217962
Chlorzoxazone,3.0 4,4251.20583911859,3024.105649447082,3000,0.7113524406698866
Chlorzoxazone,3.0 5,4180.544902731273,2843.568320906757,3000,0.6801908332688807
Chlorzoxazone,750 1,1030.1611683878796,693.8279247962565,750,0.6735139569297124
Chlorzoxazone,750 2,1093.5622400261,686.6339613968034,750,0.6278874089328611
Chlorzoxazone,750 3,997.372858875954,737.8463879963784,750,0.7397899205197306
Chlorzoxazone,750 4,1043.5477182218535,772.9738911372914,750,0.7407173410856528
Chlorzoxazone,750 5,1035.529046497491,762.8049099473376,750,0.7366330404032619
Dextromethorphan,250 1,982.2774152420828,249.44732407136473,250,0.2539479379253449
Dextromethorphan,250 2,1072.252371594307,255.85373494954732,250,0.23861335421354615
Dextromethorphan,250 3,1193.404978085985,238.82155638512637,250,0.20011778128171948
Dextromethorphan,250 4,1109.1433871451482,232.35623654124583,250,0.20949161238684688
Dextromethorphan,250 5,881.1770108254872,249.42612030025188,250,0.2830601766001468
Dextromethorphan,3.0 1,11408.107683242528,2879.8095405758368,3000,0.2524353398948026
Dextromethorphan,3.0 2,12114.305589099613,3254.8544178068455,3000,0.26867857954116214
Dextromethorphan,3.0 3,11148.46717862743,3037.2677857267054,3000,0.2724381510984226
Dextromethorphan,3.0 4,10969.982447074195,3567.937546488125,3000,0.32524551098436166
Dextromethorphan,3.0 5,9936.021280951394,3109.8510772215304,3000,0.3129875620519762
Dextromethorphan,750 1,2575.359765298222,756.0786286021471,750,0.2935817507091459
Dextromethorphan,750 2,2461.6217255074366,786.1933880262866,750,0.31938026053301155
Dextromethorphan,750 3,2528.5519227301406,720.3903038194692,750,0.2849023179407943
Dextromethorphan,750 4,2494.4251612296357,704.4735172782625,750,0.2824191834767213
Dextromethorphan,750 5,2646.9937103145853,746.6513574347136,750,0.2820752291647784
Dextrophan,250 1,601.7455718219371,258.56054309999126,250,0.4296841642176672
Dextrophan,250 2,564.0527807421249,269.13184583301063,250,0.47713947173332527
Dextrophan,250 3,660.8028878417363,284.75262976213617,250,0.43091916667037183
Dextrophan,250 4,633.8857892302149,315.1518736115304,250,0.4971745367477759
Dextrophan,250 5,487.3053607565589,297.1014761670058,250,0.609682347236536
Dextrophan,3.0 1,5627.956212651978,4177.681257230643,3000,0.7423087706046768
Dextrophan,3.0 2,6295.8121098769825,3018.9771142873115,3000,0.4795214757999347
Dextrophan,3.0 3,6347.170146578237,3456.955769941238,3000,0.5446452025246061
Dextrophan,3.0 4,5894.985485798201,3128.8884723721594,3000,0.5307711918731718
Dextrophan,3.0 5,5389.718755414391,4002.723145406824,3000,0.74265900078474
Dextrophan,750 1,1421.403798080556,740.5718575295168,750,0.5210144073975141
Dextrophan,750 2,1487.5403087404702,871.5281689188032,750,0.5858854135231759
Dextrophan,750 3,1177.953587815091,896.9175522952801,750,0.7614201116012675
Dextrophan,750 4,1321.0685385872475,889.3677327021996,750,0.6732184642390248
Dextrophan,750 5,1304.9191185834552,853.7581752272881,750,0.6542613738038252
DIA,2.5 1,5292.602214712304,3387.2320208373603,3000,0.6399936899511508
DIA,2.5 2,4672.488146944179,3237.697193946816,3000,0.6929278560212677
DIA,2.5 3,5208.259494421025,3563.555489813938,3000,0.6842123541715119
DIA,2.5 4,4979.755151485968,2965.3576901334427,3000,0.5954826291506671
DIA,2.5 5,5052.439240444955,3231.4859990290124,3000,0.6395892845500946
DIA,250 1,281.5686568343508,191.36833694210054,250,0.6796507079077488
DIA,250 2,353.41368431789215,240.38918795124482,250,0.6801920769287957
DIA,250 3,337.39339931890936,173.71539864671104,250,0.514874917521764
DIA,250 4,389.2969050776337,249.88738659918909,250,0.6418941002095983
DIA,250 5,364.64916580917,107.89098065568032,250,0.29587612086336806
DIA,750 1,876.2480197313016,819.7139930159565,750,0.9354817067287854
DIA,750 2,1018.1536337537627,797.5169520827467,750,0.7832972604953877
DIA,750 3,989.5342275563926,461.604081325474,750,0.4664862199515657
DIA,750 4,1132.436616098973,577.6574105251948,750,0.510101318089761
DIA,750 5,1036.37899077969,706.5026743220733,750,0.6817030069188843
Diclofenac,250 1,342.1524637431399,231.37276989046157,250,0.6762271046049148
Diclofenac,250 2,353.2763326710109,253.4234883795462,250,0.7173520129794463
Diclofenac,250 3,353.297568925365,240.38087243545164,250,0.6803920931769353
Diclofenac,250 4,364.24149357372085,232.7910602551035,250,0.6391118649638077
Diclofenac,250 5,366.7926987985333,245.03851345192902,250,0.6680572275690807
Diclofenac,3.0 1,3998.687431968776,2903.354249712373,3000,0.7260768187332138
Diclofenac,3.0 2,4155.403330119759,2864.08320681983,3000,0.6892431322033155
Diclofenac,3.0 3,4053.088427668814,2876.0823264893993,3000,0.7096026592599203
Diclofenac,3.0 4,4321.436764976876,2941.5439933248554,3000,0.6806865756233265
Diclofenac,3.0 5,4252.438648800408,2871.4638507606574,3000,0.6752510942328781
Diclofenac,750 1,984.0181113304147,705.8616873581619,750,0.7173259101947026
Diclofenac,750 2,1036.283418359642,690.4289164445548,750,0.6662549107824686
Diclofenac,750 3,979.1465585646326,736.4352246924612,750,0.7521195047368895
Diclofenac,750 4,1011.9200608104906,717.6159125360906,750,0.7091626506162166
Diclofenac,750 5,968.4449767546936,722.7993089070102,750,0.746350413555911
OH Chlorzoxazone,250 1,375.0765768897354,260.5265422630946,250,0.6945956061118791
OH Chlorzoxazone,250 2,339.6719633766279,263.5940235755379,250,0.7760252596510744
OH Chlorzoxazone,250 3,548.6726047842412,258.0491404749491,250,0.47031533600337816
OH Chlorzoxazone,250 4,458.58916027454234,319.9178604912149,250,0.6976132194221306
OH Chlorzoxazone,250 5,442.9924979602756,288.0068266498474,250,0.6501392867282231
OH Chlorzoxazone,3.0 1,3453.871098508531,3175.2907855228295,3000,0.9193425854525957
OH Chlorzoxazone,3.0 2,4559.106655521098,4260.465881636752,3000,0.9344957693580844
OH Chlorzoxazone,3.0 3,3723.9881653774464,3148.749161480733,3000,0.8455314629501757
OH Chlorzoxazone,3.0 4,4093.781448268379,3059.481121399368,3000,0.7473484259140146
OH Chlorzoxazone,3.0 5,3881.8615707671506,3246.9179342616553,3000,0.8364332099611643
OH Chlorzoxazone,750 1,904.1333682378545,842.5291098263051,750,0.9318637486728143
OH Chlorzoxazone,750 2,1013.1454307984641,960.7587417324849,750,0.9482930214424468
OH Chlorzoxazone,750 3,1208.3378376884657,931.1692185899756,750,0.7706199289192913
OH Chlorzoxazone,750 4,998.700524412212,830.8520476618924,750,0.8319331244477844
OH Chlorzoxazone,750 5,1076.978173523702,860.4106596094316,750,0.7989118821176331
Phenacetin,250 1,342.1983443158244,247.9432649565478,250,0.7245600952636815
Phenacetin,250 2,363.06561620066486,252.42395768384213,250,0.6952571282440815
Phenacetin,250 3,370.4120833875147,267.29887400198135,250,0.7216256866068291
Phenacetin,250 4,353.3843698453573,271.42006869185764,250,0.7680590650079752
Phenacetin,250 5,328.8663666005466,264.15990210790613,250,0.8032438976308107
Phenacetin,3.0 1,3981.906553811829,3232.7167119380047,3000,0.811851475731736
Phenacetin,3.0 2,3784.2947491238433,2791.656561965972,3000,0.7376953295227092
Phenacetin,3.0 3,3988.938757210389,3310.272456187052,3000,0.8298629429201982
Phenacetin,3.0 4,4088.3930858563467,2826.035144635854,3000,0.6912337158607434
Phenacetin,3.0 5,3687.9720903947045,2642.476646078524,3000,0.7165121051107828
Phenacetin,750 1,1041.562419413128,813.551092820602,750,0.7810872182571642
Phenacetin,750 2,1079.3206387151863,799.8441137723482,750,0.7410625583186063
Phenacetin,750 3,1059.4241359105959,811.7966794322679,750,0.7662622097376635
Phenacetin,750 4,1139.477817486806,712.2248588136218,750,0.6250449529456229
Phenacetin,750 5,1111.6553048942778,728.8386683385378,750,0.6556336889049009
