Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 2,G7 Cal Curve 78.125 uM,2,29.509,242.078,63.42776356074046,40.67309511451619,86.18243200696473
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 3,G7 Cal Curve 156.25 nM,3,64.473,161.32,138.98713892944124,116.7056595044017,161.2686183544808
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 4,G7 Cal Curve 312.5 nM,4,136.078,168.32,250.19038655071745,228.30696776556155,272.0738053358733
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 5,G7 Cal Curve 625 nM,5,266.904,138.966,552.7415183260828,530.0674443034446,575.4155923487209
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 6,G7 Cal Curve 1.25 uM,6,497.885,116.989,1187.9838407924271,1156.6249055353207,1219.3427760495335
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 7,G7 Cal Curve 2.5 uM,7,1057.246,116.796,2492.7106950616944,2432.4879866557994,2552.9334034675894
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 8,G7 Cal Curve 5 uM,8,2227.151,117.838,5171.679832288139,5044.652065011442,5298.707599564836
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 9,G7 Cal Curve 10 uM,9,4663.542,129.149,9853.241109642153,9606.539298467982,10099.942920816324
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 12,250 1 AP,12,113.592,134.199,260.5265422630946,238.66150901546692,282.3915755107223
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 13,250 2 AP,13,119.387,139.191,263.5940235755379,241.7337160135358,285.45433113754
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 14,250 3 AP,14,112.647,134.53,258.0491404749491,236.17993021798785,279.91835073191044
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 15,250 4 AP,15,132.648,124.579,319.9178604912149,298.09514670606086,341.740574276369
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 16,250 5 AP,16,124.87,131.794,288.0068266498474,266.1746412160588,309.8390120836361
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 18,750 1 AP,18,332.67,111.413,842.5291098263051,816.8044091147501,868.2538105378601
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 19,750 2 AP,19,324.968,95.005,960.7587417324849,933.2995934200553,988.2178900449144
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 20,750 3 AP,20,407.274,122.978,931.1692185899756,904.1658814205051,958.172555759446
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 21,750 4 AP,21,342.938,116.527,830.8520476618924,805.2853803195161,856.4187150042686
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 22,750 5 AP,22,365.188,119.669,860.4106596094316,834.4391363017927,886.3821829170705
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 24,3.0 1 AP,24,1383.11,119.633,3175.2907855228295,3098.4155189666985,3252.1660520789605
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 25,3.0 2 AP,25,1375.234,88.437,4260.465881636752,4156.483535258355,4364.448228015149
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 26,3.0 3 AP,26,1306.874,114.001,3148.749161480733,3072.5292188260755,3224.969104135391
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 27,3.0 4 AP,27,1527.898,137.209,3059.481121399368,2985.4615082118344,3133.5007345869017
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 28,3.0 5 AP,28,1371.604,115.996,3246.9179342616553,3168.271730038708,3325.5641384846026
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 30,250 1 R,30,171.357,135.189,375.0765768897354,353.1972946251672,396.9558591543036
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 31,250 2 R,31,162.221,142.626,339.6719633766279,317.8396820698432,361.5042446834126
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 32,250 3 R,32,169.989,89.201,548.6726047842412,526.026767660031,571.3184419084514
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 33,250 4 R,33,167.935,106.657,458.58916027454234,436.4502694059187,480.728051143166
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 34,250 5 R,34,188.292,124.105,442.9924979602756,420.91777456662635,465.0672213539249
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 36,750 1 R,36,465.435,144.888,904.1333682378545,877.5343058391862,930.7324306365227
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 37,750 2 R,37,561.474,155.399,1013.1454307984641,984.8468453698018,1041.4440162271264
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 38,750 3 R,38,564.838,130.428,1208.3378376884657,1176.6002682975284,1240.075407079403
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 39,750 4 R,39,651.71,183.064,998.700524412212,970.6373738219231,1026.7636750025008
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 40,750 5 R,40,524.231,136.243,1076.978173523702,1047.6053255413672,1106.3510215060369
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 42,3.0 1 R,42,2149.213,170.771,3453.871098508531,3370.0901062607422,3537.6520907563195
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 43,3.0 2 R,43,2421.722,145.464,4559.106655521098,4447.591062841107,4670.62224820109
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 44,3.0 3 R,44,2349.972,173.068,3723.9881653774464,3633.471081713133,3814.5052490417597
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 45,3.0 4 R,45,2309.323,154.597,4093.781448268379,3993.9931510155852,4193.569745521172
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 46,3.0 5 R,46,2408.899,170.136,3881.8615707671506,3787.39258353194,3976.330558002361
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 48,G7 Cal Curve 78.125 uM,48,48.737,177.862,104.80830030921425,82.33232367406139,127.28427694436711
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 49,G7 Cal Curve 156.25 nM,49,88.53,149.209,191.6712843806963,169.62382079687748,213.71874796451513
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 50,G7 Cal Curve 312.5 nM,50,131.897,122.129,324.0556828109802,302.2319296957569,345.87943592620354
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 51,G7 Cal Curve 625 nM,51,350.168,156.36,639.4802177795864,616.100349645091,662.8600859140818
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 52,G7 Cal Curve 1.25 uM,52,697.751,147.223,1319.5347536971867,1285.660033778003,1353.4094736163704
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 53,G7 Cal Curve 2.5 uM,53,1423.294,165.539,2369.171685998107,2311.903413508776,2426.439958487438
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 54,G7 Cal Curve 5 uM,54,2786.521,153.644,4963.877891284403,4842.119984436666,5085.63579813214
A&P - Recovery Assessment G7.SPL,OH Chlorzoxazone,G7 APR Assessment 55,G7 Cal Curve 10 uM,55,6320.256,168.726,10220.187898588423,9964.069343555697,10476.30645362115
